first,second,reliability,bandwidth
0,1,0.874218341645034,2927.9652918681354
0,10,0.0404499120045535,2574.746659999052
0,95,0.7658256783644374,638.358908590411
0,95,0.33716055176087345,1156.2805506435432
2,140,0.9254578405390435,625.888115454374
2,51,0.9648468758017325,182.42427851190203
3,140,0.5203471805197916,2615.153258820172
3,140,0.5765200715123484,2366.5412357947375
4,8,0.9226860061206231,278.76864706496144
4,5,0.6919635066851862,1347.6824838940374
5,140,0.5094853272938553,1079.353492965159
5,11,0.7723048815796375,915.523124412053
6,11,0.8892251787884535,274.9828506895744
6,7,0.13610512490931193,2702.889284274763
7,140,0.8262693359639421,1849.4062280209394
8,13,0.7548929367711426,990.9942386194679
9,13,0.9704974686267389,30.807538972393736
9,13,0.7996995371431631,1735.3142456239073
10,93,0.35440100584242207,2977.1530728769058
10,93,0.35384898259829456,1102.2167101277564
10,94,0.6209122630898802,1407.370629294392
10,94,0.30309409782991914,256.2324036845295
10,97,0.28947360069282646,2856.285268082531
10,11,0.2972060533518518,1027.5607320444506
10,13,0.9015921619518857,674.2476531200991
12,137,0.904149557032008,32.7632173293142
12,30,0.8891370885190363,2979.5312686216826
13,115,0.9380981101747681,429.20985618955723
14,17,0.5429682096604472,368.19338538709417
14,137,0.2351354841017489,1425.635037611902
15,18,0.5818141704606182,915.3427873430969
15,19,0.6020507667321593,561.9245374568126
15,128,0.8452122414963976,723.4421649148636
16,51,0.9953798244572342,1496.0183793668311
17,132,0.6264238296194858,1196.5590901737028
17,139,0.5580756047869212,1040.422532125712
17,129,0.23511968562933916,836.2966465622816
17,129,0.08237863241614207,1810.5453124056626
17,130,0.5303970964992235,2568.7640432278163
18,138,0.822023558518134,672.0598393342642
19,49,0.4803175142486583,2455.512692711768
20,23,0.028455893021859024,1244.5081967678318
21,77,0.1880793074412629,2915.384664235556
22,23,0.49596852279018766,579.5516931711795
23,147,0.57819780243243,2611.9793827617295
23,147,0.23054098799952605,154.89493203392715
24,77,0.5421925389311301,127.72814248471664
25,77,0.9795063697619583,325.0466610894914
26,77,0.0333831806507322,2988.3754905084916
27,77,0.09881543092818867,1186.6081763825498
28,136,0.33780151465183106,2773.3222061887222
28,29,0.9754587560855426,2613.540859122685
30,114,0.47874547756177843,1605.7901210055898
30,115,0.32925645728786146,2961.241327788778
31,115,0.9238507915441733,2636.81958182007
31,115,0.9322743748285235,1993.5388835212423
32,33,0.18835233036172272,2948.8115104574185
32,35,0.9093052520195666,2749.124396214109
33,71,0.047368268063161634,220.42990753526158
33,38,0.6181324313499231,40.7906898931148
34,115,0.5257253015022139,2871.4927407271
34,115,0.6055117913187061,1548.6146929857073
35,71,0.4917905122504753,1945.5700180209103
36,39,0.1729254950620479,1172.730524433688
38,71,0.057913194393445444,2921.634473601264
39,120,0.6899217660646684,2159.443380013531
40,138,0.9771464770756957,1352.7254808534049
41,138,0.6808513722393158,2878.7678981155254
42,138,0.24152220946312286,2461.4236927823436
43,138,0.6819233035635133,1600.1831273195992
44,138,0.07124036647723553,42.615956464204224
45,49,0.4027100443238433,1384.9160546951678
46,138,0.26698530481632543,2850.9671623558347
47,138,0.23099543579063575,878.9844366947212
48,49,0.7458915665247821,2750.979149921342
49,125,0.14678002016455183,1462.9528776964887
50,56,0.7689108980258943,1943.6379978772613
50,58,0.3948510704452648,2412.9578922215765
50,51,0.8095870512611734,2544.5075250692603
50,52,0.1452555863602446,2265.465355713965
50,53,0.26179409400412,2813.426512064734
51,132,0.7899216363176992,1438.4874383022923
51,53,0.676164708291609,2325.678632602316
51,88,0.11013045183457992,2853.053054102698
51,123,0.45906535435067386,500.93488499207587
51,123,0.48703479718672105,602.6052410129629
53,88,0.8459740542105809,2068.943054864031
54,135,0.30252772300299036,2603.517384406482
54,136,0.5033889448785209,2117.5911552851785
54,55,0.9709195559274773,2539.468665001068
55,136,0.4818941565221946,2967.5496562335657
56,57,0.7154291361406492,2741.9305829571786
56,57,0.7327108583312216,1348.8514974899037
56,59,0.49035994924277404,264.70668616646014
58,59,0.6252162018168564,1342.0833846141493
60,77,0.925354258754092,801.7315670060805
61,121,0.007057975559746743,1245.6684546607285
61,122,0.6559555712794329,248.43498021198752
62,70,0.6292884024184056,1727.5711871536062
62,122,0.09868039681277774,133.42882675700875
63,148,0.26382411458381216,1083.9246643166662
64,148,0.566989054520747,1155.0218429758413
64,66,0.2748090662647147,683.0076231415887
65,148,0.8503791776570246,885.9677248903718
66,77,0.003909721702700764,2059.826424962105
66,104,0.5945518427056594,1778.6287300328363
67,148,0.13783054734278322,860.7934272187682
68,148,0.5222784353929748,2941.1956117807804
69,148,0.5088336514182417,2026.5085047746882
70,148,0.4274767875704796,2970.289622927488
71,113,0.327519499378231,2832.950728804722
71,121,0.36545612261128124,42.48069307085808
72,136,0.22268592537378207,2919.8368908528796
72,146,0.8140064826927834,126.52304697742522
73,136,0.795845095970224,1706.2820184861616
73,74,0.5486553625355888,1830.5165562252714
74,146,0.47543866099395227,2858.932413036093
75,111,0.07108343836234454,712.3592406353538
75,138,0.009177043822253816,952.4017434010698
75,90,0.525217348738935,2618.731978568398
76,133,0.5314159624605904,1398.5769311209378
76,147,0.7804745664266226,773.1093681589775
77,103,0.48096409052544975,273.4478312326385
77,89,0.5209590918645403,2861.1531607884804
78,79,0.6775255684545691,2472.2014848313274
78,134,0.8336681833525156,1463.1760346843569
78,119,0.19135238019498346,718.5215595514002
78,80,0.5570037610961672,2914.2949876931843
81,119,0.95951958218997,2886.8206277854647
82,117,0.044450083337649327,1429.8535757026293
82,118,0.12094344703781867,936.8039790041535
82,147,0.5563686937079775,404.83216877472745
83,148,0.10561182466295904,2888.5904469467487
84,148,0.5227876545677824,891.7199856066438
85,148,0.6204518527740387,2752.763567451441
86,134,0.949884923212524,725.7687948753124
87,136,0.36607420966895676,2702.308812465273
87,146,0.9554626610806183,1132.9320994241807
91,103,0.4051720268482858,1100.0494460991179
92,148,0.03940528988651926,2773.569240112111
93,96,0.18593554560430625,714.8874226980538
93,96,0.3359503177791411,1688.0058792236478
94,97,0.11715646218454856,846.5262102239241
95,98,0.0011348548777203593,1973.68915689313
95,98,0.30945340862414983,966.746933113435
97,100,0.9628326458685683,870.6811806559542
97,100,0.8115426656976924,899.2111653660719
